,unique_key,complaint_description,source,status,status_change_date,created_date,last_update_date,close_date,incident_address,street_number,street_name,city,incident_zip,county,state_plane_x_coordinate,state_plane_y_coordinate,latitude,longitude,location,council_district_code,map_page,map_tile
0,14-00003190,Graffiti Abatement,Mass Entry,Closed,2014-01-02 00:00:00+00:00,2014-01-02 00:00:00+00:00,2014-01-06 12:54:43+00:00,2014-01-02 00:00:00+00:00,"5340 BURNET RD, AUSTIN, TX",5340,BURNET,AUSTIN,78756,TRAVIS,3114750.25,10092578.775,30.3280324,-97.73981024,"(30.3280324, -97.73981024)",0,555B,MJ27
1,14-00003189,Graffiti Abatement,Mass Entry,Closed,2014-01-02 00:00:00+00:00,2014-01-02 00:00:00+00:00,2014-01-06 12:54:12+00:00,2014-01-02 00:00:00+00:00,"5033 BURNET RD, AUSTIN, TX",5033,BURNET,AUSTIN,78756,TRAVIS,3114961.66248428,10090534.094803,30.32239832,-97.73929144,"(30.32239832, -97.73929144)",0,555F,MJ27
2,14-00003195,Graffiti Abatement,Mass Entry,Closed,2014-01-02 00:00:00+00:00,2014-01-02 00:00:00+00:00,2014-01-06 12:56:04+00:00,2014-01-02 00:00:00+00:00,"1000 W 10TH ST, AUSTIN, TX",1000,10TH,AUSTIN,78703,TRAVIS,3111260.57454072,10073232.9984989,30.27507686,-97.75229086,"(30.27507686, -97.75229086)",0,584R,MH23
3,14-00003187,Graffiti Abatement,Mass Entry,Closed,2014-01-02 00:00:00+00:00,2014-01-02 00:00:00+00:00,2014-01-06 12:53:40+00:00,2014-01-02 00:00:00+00:00,"700 LYDIA ST, AUSTIN, TX",700,LYDIA,AUSTIN,78702,TRAVIS,3118714.89543068,10069734.8460558,30.26498332,-97.72894226,"(30.26498332, -97.72894226)",0,585Y,MK22
4,14-00003797,Graffiti Abatement,Mass Entry,Closed,2014-01-02 00:00:00+00:00,2014-01-02 00:00:00+00:00,2014-01-07 09:38:55+00:00,2014-01-02 00:00:00+00:00,"400 WOODLAND OAKS TRL, DRIPPING SPRINGS, TX",400,WOODLAND OAKS,DRIPPING SPRINGS,78610,HAYS,3064362.01618815,10010618.0287791,30.10585917,-97.90515456,"(30.10585917, -97.90515456)",0,731K,MA08
5,14-00003178,Graffiti Abatement,Mass Entry,Closed,2014-01-02 00:00:00+00:00,2014-01-02 00:00:00+00:00,2014-01-06 12:51:54+00:00,2014-01-02 00:00:00+00:00,"5800 BURNET RD, AUSTIN, TX",5800,BURNET,AUSTIN,78756,TRAVIS,3114656.02012159,10094886.3270071,30.33438156,-97.73993834,"(30.33438156, -97.73993834)",0,525W,MJ28
6,14-00003192,Graffiti Abatement,Mass Entry,Closed,2014-01-02 00:00:00+00:00,2014-01-02 00:00:00+00:00,2014-01-06 12:55:15+00:00,2014-01-02 00:00:00+00:00,"5340 BURNET RD, AUSTIN, TX",5340,BURNET,AUSTIN,78756,TRAVIS,3114750.25,10092578.775,30.3280324,-97.73981024,"(30.3280324, -97.73981024)",0,555B,MJ27
7,14-00003173,Graffiti Abatement,Mass Entry,Closed,2014-01-02 00:00:00+00:00,2014-01-02 00:00:00+00:00,2014-01-06 12:49:45+00:00,2014-01-02 00:00:00+00:00,"200 E 15TH ST, AUSTIN, TX",200,15TH,AUSTIN,78701,TRAVIS,3115704.38681529,10073892.5076109,30.2766055,-97.73816843,"(30.2766055, -97.73816843)",0,585P,MJ23
8,14-00003175,Graffiti Abatement,Mass Entry,Closed,2014-01-02 00:00:00+00:00,2014-01-02 00:00:00+00:00,2014-01-06 12:50:20+00:00,2014-01-02 00:00:00+00:00,"1500 N LAMAR BLVD, AUSTIN, TX",1500,LAMAR,AUSTIN,78701,TRAVIS,3111734.49193782,10074946.4923189,30.27975676,-97.75066393,"(30.27975676, -97.75066393)",0,584M,MH23
9,14-00003183,Graffiti Abatement,Mass Entry,Closed,2014-01-02 00:00:00+00:00,2014-01-02 00:00:00+00:00,2014-01-06 12:53:02+00:00,2014-01-02 00:00:00+00:00,"200 SAN MARCOS ST, AUSTIN, TX",200,SAN MARCOS,AUSTIN,78702,TRAVIS,3117083.1033541,10068453.8798637,30.26156708,-97.73420445,"(30.26156708, -97.73420445)",0,615B,MJ21
