county_fips_code (df1),county_fips_code (df2),county_name (df1),county_name (df2),state_name (df1),state_name (df2),forecast_date (df1),forecast_date (df2),prediction_date (df1),prediction_date (df2),new_confirmed (df1),new_confirmed (df2),cumulative_confirmed (df1),cumulative_confirmed (df2),new_confirmed_7day_rolling (df1),new_confirmed_7day_rolling (df2),new_deaths (df1),new_deaths (df2),cumulative_deaths (df1),cumulative_deaths (df2),new_deaths_7day_rolling (df1),new_deaths_7day_rolling (df2),hospitalized_patients (df1),hospitalized_patients (df2),recovered (df1),recovered (df2),new_confirmed_ground_truth (df1),new_confirmed_ground_truth (df2),cumulative_confirmed_ground_truth (df1),cumulative_confirmed_ground_truth (df2),new_deaths_ground_truth (df1),new_deaths_ground_truth (df2),cumulative_deaths_ground_truth (df1),cumulative_deaths_ground_truth (df2),hospitalized_patients_ground_truth (df1),hospitalized_patients_ground_truth (df2),recovered_documented_ground_truth (df1),recovered_documented_ground_truth (df2),county_population (df1),county_population (df2)
48005,48007,Aransass,Aransas,Texas,Texas,05-02-2022,05-02-2022,21-01-2022,21-01-2022,nan,nan,nan,nan,37.14285714,37.14285714,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,52,52,3282,3282,0,0,69,69,nan,nan,nan,nan,23510,23510
55013,55013,Burnett,Burnett,Wisconsin,Wisconsin,05-02-2022,05-02-2022,21-01-2023,21-01-2022,nan,nan,nan,nan,29.28571429,29.28571429,nan,nan,nan,nan,0.142857143,0.142857143,nan,nan,nan,nan,38,38,3530,3530,1,1,37,37,nan,nan,nan,nan,15414,15414
31021,31021,Burt,Burt,Nebraska,Nebraska,05-02-2022,05-02-2022,21-01-2022,21-01-2022,nan,nan,nan,nan,10.71428571,10.71428571,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,17,17,1134,1134,0,0,12,12,nan,nan,nan,nan,6459,6459
1017,1017,Chambers,Chambers,Alabama,Alabama,05-02-2022,05-02-2022,21-01-2023,21-01-2022,nan,nan,nan,nan,64.42857143,64.42857143,nan,nan,nan,nan,0.142857143,0.142857143,nan,nan,nan,nan,78,78,7712,7712,0,0,147,147,nan,nan,nan,nan,33254,33254
45023,45023,Chester,Chester,Sout Carolina,South Carolina,05-02-2022,05-02-2022,21-01-2022,21-01-2022,nan,nan,nan,nan,259.7142857,259.7142857,nan,nan,nan,nan,1.571428571,1.571428571,nan,nan,nan,nan,92,92,8635,8635,1,1,128,128,nan,nan,nan,nan,32244,32244
29045,29045,Clark,Clark,Missouri,Missouri,05-02-2022,05-02-2022,21-01-2022,21-01-2022,nan,nan,nan,nan,112.2857143,112.2857143,nan,nan,nan,nan,0.285714286,0.285714286,nan,nan,nan,nan,3,3,1412,1412,0,0,28,28,nan,nan,nan,nan,6797,6797
40029,40029,Coal,Coal,Oklahoma,Oklahoma,05-02-2022,05-02-2022,21-01-2022,21-01-2022,nan,nan,nan,nan,11.14285714,11.14285714,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,0,0,1249,1249,0,0,20,20,nan,nan,nan,nan,5495,5495
35009,35009,Curry,Curry,New Mexicos,New Mexico,05-02-2022,05-02-2022,21-01-2022,21-01-2022,nan,nan,nan,nan,165.4285714,165.4285714,nan,nan,nan,nan,0.857142857,0.857142857,nan,nan,nan,nan,199,199,10902,10902,1,1,151,151,nan,nan,nan,nan,48954,48954
48125,48125,Dickens,Dickens,Texa,Texas,05-02-2022,05-02-2022,21-01-2022,21-01-2022,nan,nan,nan,nan,8.428571429,8.428571429,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,1,1,367,367,0,0,15,15,nan,nan,nan,nan,2211,2211
22035,22035,East Carroll,East Carroll,Louisiana,Louisiana,05-02-2022,05-02-2022,21-01-2022,21-01-2022,nan,nan,nan,nan,198.0,19.0,nan,nan,nan,nan,0.285714286,0.285714286,nan,nan,nan,nan,15,15,2082,2082,0,0,35,35,nan,nan,nan,nan,6861,6861
